Pclass,Sex,Age,Fare,Cabin,Embarked,Has_family,Survived
1,1,42.0,52.0,7,2,True,0
3,1,30.1,15.5,7,1,True,0
1,1,49.0,89.1042,2,0,True,1
1,0,19.0,91.0792,1,0,True,1
1,1,19.0,53.1,3,2,True,0
2,0,27.0,21.0,7,2,True,0
1,1,38.0,90.0,2,2,True,1
2,1,2.0,26.0,5,2,True,1
3,1,12.0,11.2417,7,0,True,1
3,1,0.42,8.5167,7,0,True,1
2,1,34.0,13.0,7,2,False,0
3,1,38.0,7.8958,7,2,False,0
3,0,30.1,14.4583,7,0,True,0
3,0,30.1,23.45,7,2,True,0
3,0,30.1,7.75,7,1,True,0
1,1,17.0,110.8833,2,0,True,1
3,1,22.0,7.25,7,2,True,0
2,1,60.0,39.0,7,2,True,0
2,1,23.0,11.5,7,2,True,0
3,1,30.0,7.225,7,0,False,0
3,1,32.0,56.4958,7,2,False,1
3,1,44.0,16.1,7,2,True,0
3,1,31.0,7.925,7,2,False,1
2,0,29.0,10.5,5,2,False,1
2,0,34.0,13.0,7,2,False,1
3,0,48.0,34.375,7,2,True,0
1,0,33.0,90.0,2,1,True,1
3,1,41.0,7.125,7,2,False,0
3,1,29.0,7.75,7,1,False,1
1,1,36.0,78.85,2,2,True,0
1,1,11.0,120.0,1,2,True,1
1,0,58.0,153.4625,2,2,True,1
3,0,18.0,6.75,7,1,False,0
1,1,44.0,90.0,2,1,True,0
2,0,40.0,15.75,7,2,False,1
2,1,31.0,26.25,7,2,True,0
3,0,9.0,27.9,7,2,True,0
2,0,13.0,19.5,7,2,True,1
3,1,30.1,15.5,7,1,True,0
3,0,30.1,7.75,7,1,False,1
2,0,24.0,14.5,7,2,True,1
2,1,27.0,26.0,7,2,False,0
2,1,33.0,12.275,7,2,False,0
1,1,25.0,91.0792,1,0,True,1
1,1,46.0,61.175,4,2,True,0
3,0,17.0,14.4583,7,0,False,0
2,0,28.0,24.0,7,0,True,1
3,1,30.1,7.8958,7,2,False,0
3,1,20.0,9.8458,7,2,False,0
2,1,30.1,0.0,7,2,False,0
3,0,47.0,14.5,7,2,True,0
3,1,36.0,15.55,7,2,True,0
2,1,16.0,26.0,7,2,False,0
2,0,5.0,27.75,7,2,True,1
3,0,25.0,7.775,7,2,False,0
1,0,39.0,79.65,4,2,True,1
3,1,18.0,7.75,7,2,False,0
3,0,40.0,9.475,7,2,True,0
3,1,24.0,8.05,7,2,False,0
3,0,18.0,9.8417,7,2,False,1
3,1,19.0,8.05,7,2,False,0
3,0,17.0,7.925,7,2,True,1
3,1,30.0,9.5,7,2,False,1
1,1,24.0,79.2,1,0,False,0
3,1,30.1,7.225,7,0,False,0
1,1,24.0,247.5208,1,0,True,0
3,1,39.0,7.925,7,2,False,0
3,1,2.0,39.6875,7,2,True,0
3,1,21.0,7.775,7,2,False,0
3,0,43.0,46.9,7,2,True,0
3,1,18.0,7.7958,7,2,False,0
3,1,30.1,7.2292,7,0,False,0
1,0,54.0,78.2667,3,0,True,1
3,0,14.0,7.8542,7,2,False,0
3,0,30.1,7.7875,7,1,False,1
3,0,32.0,15.5,7,1,True,0
